product_id,name,category,asset_class,risk_level,min_investment,lock_in_months,expected_return_low,expected_return_high,liquidity,goal_tags,allowed_risk_profiles,tax_benefit,senior_citizen_friendly,min_horizon_months,max_allocation_pct
prod_fd,Smart Fixed Deposit,deposit,fixed_income,low,5000,0,6.5,7.25,medium,safety|wealth|education,conservative|moderate|aggressive,no,yes,6,100
prod_rd,Monthly Recurring Deposit,deposit,fixed_income,low,1000,12,6.75,7.1,low,safety|education|wealth,conservative|moderate|aggressive,no,yes,12,100
prod_sweep,Sweep-in Savings Plus Account,savings,cash,low,25000,0,3.5,4.25,high,safety,conservative|moderate|aggressive,no,yes,0,100
prod_ppf,Public Provident Fund,govt_savings,fixed_income,low,500,180,7.1,7.6,low,retirement|safety|tax|education,conservative|moderate|aggressive,yes,no,180,40
prod_debt_mf,Corporate Bond Debt Fund,debt_fund,debt,moderate,5000,0,6.8,8.0,medium,wealth|safety|education,conservative|moderate|aggressive,no,yes,12,60
prod_sgb,Sovereign Gold Bond,gold,gold,moderate,7000,60,6.0,9.0,low,wealth,moderate|aggressive,no,no,60,15
prod_bal_adv,Balanced Advantage Fund,hybrid_fund,hybrid,moderate,1000,0,8.5,11.0,medium,wealth|retirement|education,moderate|aggressive,no,no,36,50
prod_nps,National Pension System,pension,mixed,moderate,500,240,9.0,12.0,low,retirement|tax,moderate|aggressive,yes,no,120,40
prod_index_sip,Nifty 50 Index Fund (SIP),equity_fund,equity,high,500,0,10.0,13.0,medium,wealth|retirement|education,moderate|aggressive,no,no,36,60
prod_largecap,Blue-Chip Large-Cap Equity Fund,equity_fund,equity,high,1000,0,10.5,14.0,medium,wealth|retirement,moderate|aggressive,no,no,36,50
prod_elss,ELSS Tax Saver Fund,equity_fund,equity,high,500,36,11.0,14.5,low,tax|wealth,moderate|aggressive,yes,no,36,30
prod_term_life,Shield Term Life Insurance,protection,protection,low,6000,12,0.0,0.0,none,safety,conservative|moderate|aggressive,yes,no,0,10
prod_health,Comprehensive Family Health Cover,protection,protection,low,9000,12,0.0,0.0,none,safety,conservative|moderate|aggressive,yes,yes,0,10
